lat,lon,name,capacity,fee,access
33.7510939,-118.1907593,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7505475,-118.190081,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7499247,-118.1908027,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7498991,-118.1907708,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7504354,-118.1914406,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7510179,-118.1909097,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7508023,-118.1911591,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7502959,-118.1902085,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7500345,-118.1905075,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7660552,-118.1984791,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7652132,-118.1964115,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7644478,-118.1965053,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640655,-118.1958042,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7634045,-118.1962451,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632994,-118.1961921,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632675,-118.1962012,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.763257,-118.1962606,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632794,-118.1963262,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632738,-118.1963496,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7632951,-118.1963804,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7633138,-118.1963889,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7633422,-118.1964133,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.763368,-118.1964283,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7633377,-118.1964607,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.763693,-118.1971046,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7637617,-118.1970511,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7637872,-118.1970977,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7657281,-118.1959032,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765711,-118.1959815,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7656318,-118.1961099,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7646877,-118.1954011,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7646796,-118.1953666,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7654763,-118.1966306,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7660824,-118.1990714,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7639709,-118.1958066,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640008,-118.1958565,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653159,-118.1950329,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7653286,-118.1950225,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.765577,-118.1965627,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7657601,-118.196372,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640826,-118.1996473,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640835,-118.1988688,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640841,-118.2001691,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640843,-118.1985735,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640847,-118.2002998,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640847,-118.2005355,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640853,-118.1989967,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7640814,-118.1995216,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.76413,-118.1985202,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7641323,-118.2005912,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7646957,-118.1954168,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647124,-118.1985182,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647174,-118.2005905,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.764713,-118.1953413,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.76472,-118.1954547,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647353,-118.1953371,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647442,-118.1954683,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647485,-118.198881,Unnamed Parking Structure,Unknown,Unknown,Unknown
33.7647486,-118.1989224,Unnamed Parking Structure,Unknown,Unknown,Unknown
