name,lat,lon,coordinates
Orizaba Avenue,33.7621005,-118.1579316,"[(33.7621005, -118.1579316), (33.762198, -118.1579036), (33.7627955, -118.1577322), (33.7634283, -118.157541), (33.7639837, -118.1573702), (33.7645075, -118.1572138), (33.7650109, -118.1570661), (33.7651063, -118.157037)]"
Bellflower Boulevard,33.769887,-118.1209491,"[(33.769887, -118.1209491), (33.7700642, -118.1209382), (33.7708799, -118.1209352), (33.7716503, -118.1209291), (33.7721638, -118.1209332), (33.7726339, -118.1209322)]"
East Appleton Street,33.7697606,-118.1819146,"[(33.7697606, -118.1819146), (33.7697357, -118.1818222), (33.7696485, -118.181188), (33.769553, -118.1804585), (33.7695318, -118.1803003), (33.7693118, -118.1786624), (33.7692982, -118.1785469), (33.7690777, -118.1768701), (33.7690615, -118.176756), (33.7688513, -118.1750812), (33.7688359, -118.1749702), (33.7686129, -118.173293), (33.7686091, -118.1732625), (33.7685941, -118.1731403), (33.7685842, -118.1730629), (33.768498, -118.1723875), (33.76838, -118.1715064), (33.7683647, -118.1713871), (33.7681408, -118.1697119), (33.7681213, -118.1695687), (33.7679085, -118.1679332), (33.7678901, -118.1677921), (33.7677337, -118.1666546), (33.7675559, -118.1657749), (33.7675492, -118.1657457), (33.7675279, -118.1656528)]"
West 33rd Way,33.8183225,-118.193751,"[(33.8183225, -118.193751), (33.8183294, -118.1944655), (33.8183329, -118.1948265)]"
West 33rd Way,33.8183847,-118.200222,"[(33.8183847, -118.200222), (33.8183842, -118.2003371), (33.8183802, -118.201317), (33.818385, -118.202405)]"
Watson Plaza Drive,33.8323313,-118.1550669,"[(33.8323313, -118.1550669), (33.8322617, -118.1550802), (33.8322172, -118.1550802), (33.83159, -118.1550801), (33.8311157, -118.155049), (33.8309286, -118.1551396)]"
East 5th Street,33.7726282,-118.1589416,"[(33.7726282, -118.1589416), (33.7726282, -118.1588474), (33.7726274, -118.1568774), (33.7726274, -118.156761), (33.7726278, -118.1566837), (33.7726326, -118.1557212), (33.7726337, -118.1555104), (33.7726376, -118.1547253), (33.7726383, -118.1545861)]"
East 5th Street,33.7726221,-118.150253,"[(33.7726221, -118.150253), (33.7726221, -118.1501669), (33.7726228, -118.1481795), (33.7726228, -118.1480895), (33.7726227, -118.147988), (33.77262, -118.146012), (33.7726199, -118.145911), (33.7726198, -118.1458111), (33.7726173, -118.144348), (33.7726193, -118.1438348), (33.7726197, -118.1437421), (33.7726195, -118.1436466), (33.7726179, -118.1416578), (33.7726179, -118.1415661), (33.7726173, -118.1414701), (33.7726125, -118.1406871), (33.772616, -118.1400317), (33.7726165, -118.1399349)]"
East 5th Street,33.7726425,-118.1641144,"[(33.7726425, -118.1641144), (33.7726322, -118.1640129), (33.7726291, -118.1639829), (33.7726084, -118.1634193), (33.772606, -118.1612536), (33.7726059, -118.1611379)]"
East 5th Street,33.7735446,-118.1720094,"[(33.7735446, -118.1720094), (33.7735436, -118.171923), (33.7735456, -118.1709563), (33.7735446, -118.1704321), (33.7735429, -118.1703785), (33.7735417, -118.1699216), (33.773543, -118.1698318)]"
East 5th Street,33.7727324,-118.1736379,"[(33.7727324, -118.1736379), (33.7727288, -118.172585), (33.772729, -118.172107), (33.772729, -118.1720123)]"
East 5th Street,33.7713384,-118.1098262,"[(33.7713384, -118.1098262), (33.771381, -118.1097248), (33.7713868, -118.1097071), (33.771631, -118.1089946), (33.7717665, -118.1085146), (33.7718245, -118.1082598), (33.7718594, -118.1080311), (33.7718891, -118.1078715), (33.7719081, -118.1077006), (33.7719085, -118.1074955), (33.7718875, -118.107144), (33.771826, -118.1063448), (33.7718195, -118.106241), (33.7718194, -118.1061586), (33.771814, -118.105614), (33.771816, -118.1050894), (33.7718111, -118.104616), (33.7718136, -118.104337)]"
East 5th Street,33.7728956,-118.1698342,"[(33.7728956, -118.1698342), (33.7728964, -118.1697633), (33.7728946, -118.1695723), (33.7728948, -118.169018), (33.7729052, -118.168735), (33.7729237, -118.1686064), (33.7729237, -118.1684963), (33.7729281, -118.1682899), (33.7729293, -118.1677647), (33.7729298, -118.1676651)]"
East 5th Street,33.7726583,-118.1382767,"[(33.7726583, -118.1382767), (33.7726355, -118.1382381), (33.7726233, -118.1381883), (33.7726206, -118.1377578), (33.7726198, -118.1373116), (33.7726196, -118.1372157)]"
Bentree Circle,33.8475774,-118.1776515,"[(33.8475774, -118.1776515), (33.8477665, -118.1775968), (33.8478549, -118.1775851), (33.8479825, -118.1776102), (33.8480955, -118.1776548), (33.8481964, -118.1777845), (33.8482454, -118.177932), (33.8482498, -118.1780877), (33.8482232, -118.178203), (33.8481646, -118.178328), (33.8480872, -118.1784041), (33.8479803, -118.1784658), (33.847875, -118.1784864), (33.8475988, -118.1784809)]"
Village Road,33.8349896,-118.1599289,"[(33.8349896, -118.1599289), (33.8349871, -118.1598045), (33.8349853, -118.1597155), (33.8349694, -118.1571091)]"
Village Road,33.8338687,-118.1143774,"[(33.8338687, -118.1143774), (33.8338679, -118.1097073)]"
South 14th Place,33.7646732,-118.1697614,"[(33.7646732, -118.1697614), (33.7645563, -118.1697818), (33.7640584, -118.1698567)]"
West Bixby Road,33.8267221,-118.1950499,"[(33.8267221, -118.1950499), (33.8267224, -118.1954294), (33.8267228, -118.1960242), (33.8267233, -118.1966266), (33.8267238, -118.1972269), (33.8267242, -118.1978231), (33.8267248, -118.198559)]"
Sea Breeze Drive,33.7674178,-118.1150758,"[(33.7674178, -118.1150758), (33.7675612, -118.11455), (33.7676919, -118.1140349), (33.7678212, -118.1135729), (33.7682997, -118.1125179), (33.768385, -118.1121341), (33.7684067, -118.1119311), (33.7684111, -118.1117111), (33.7683957, -118.11136), (33.7680697, -118.1099898), (33.7679019, -118.1092347), (33.7676558, -118.1086894)]"
East Luray Street,33.8463543,-118.1760989,"[(33.8463543, -118.1760989), (33.8463519, -118.1752271), (33.846351, -118.1743642), (33.8463407, -118.1735108), (33.8463444, -118.1726589), (33.8463431, -118.1717967), (33.8463389, -118.1709187), (33.8463364, -118.1700735), (33.8463342, -118.169324), (33.8463339, -118.1692206)]"
Luray Street,33.8426555,-118.184732,"[(33.8426555, -118.184732), (33.842794, -118.184732), (33.8428279, -118.184732), (33.8433791, -118.1847319), (33.8440462, -118.184735), (33.8441268, -118.184712), (33.8441606, -118.1846931), (33.8442317, -118.18461), (33.8445032, -118.1840221), (33.845783, -118.1811287), (33.8459344, -118.1807264), (33.846282, -118.179546)]"
Coronado Avenue,33.7898508,-118.1529467,"[(33.7898508, -118.1529467), (33.7899903, -118.1529471), (33.7902253, -118.1529491), (33.7907846, -118.1529527), (33.7909471, -118.1529537), (33.7915651, -118.1529568), (33.791755, -118.1529589)]"
Coronado Avenue,33.7880754,-118.1535136,"[(33.7880754, -118.1535136), (33.7895532, -118.153494), (33.789745, -118.1534915), (33.7898552, -118.15349)]"
Coronado Avenue,33.7826041,-118.1535,"[(33.7826041, -118.1535), (33.7827339, -118.1535006), (33.783059, -118.1535025), (33.7830901, -118.1535029), (33.7832986, -118.1535052), (33.7839935, -118.1535076), (33.7843665, -118.1535093), (33.7853122, -118.1535012), (33.7857826, -118.153501)]"
Coronado Avenue,33.7613645,-118.1544227,"[(33.7613645, -118.1544227), (33.7614697, -118.1543932), (33.7617852, -118.1543008), (33.7620581, -118.1542155), (33.7626873, -118.1540292), (33.7632372, -118.1538602), (33.7637762, -118.1537005), (33.7643649, -118.1535565), (33.7644479, -118.1535382), (33.7645493, -118.1535175), (33.7649215, -118.1535161), (33.7649709, -118.153516), (33.7662733, -118.1535139), (33.7680013, -118.1535163), (33.7680893, -118.153516), (33.7681719, -118.1535156), (33.769827, -118.1535092), (33.7699057, -118.1535083), (33.769982, -118.1535086), (33.7716315, -118.1535112), (33.7717105, -118.1535107), (33.771807, -118.153509), (33.7729208, -118.1535031), (33.773455, -118.1535031), (33.7735405, -118.1535041), (33.77359, -118.153504), (33.7736071, -118.153504), (33.7745975, -118.153504), (33.7751608, -118.1535048), (33.7752363, -118.153504), (33.7753354, -118.1535049), (33.7754637, -118.153504), (33.7756517, -118.1535047), (33.7757145, -118.1535049), (33.7771449, -118.153505), (33.7788847, -118.1535151), (33.7789738, -118.1535156), (33.7790588, -118.1535147), (33.7807157, -118.1535014), (33.7807851, -118.1535015)]"
Lakewood Drive,33.8324199,-118.1476582,"[(33.8324199, -118.1476582), (33.8325134, -118.1476555), (33.8326329, -118.147652), (33.8327328, -118.1476349), (33.8328041, -118.1476005), (33.8328896, -118.147549), (33.8329609, -118.1474889), (33.8330108, -118.1474203), (33.8332923, -118.14706), (33.8340171, -118.146159), (33.8359736, -118.1443149), (33.8361486, -118.1442092), (33.8362339, -118.1441724), (33.8362747, -118.1441356)]"
Azure Way,33.7680225,-118.1247572,"[(33.7680225, -118.1247572), (33.7679545, -118.1247156), (33.7679252, -118.1246979), (33.7678447, -118.124638), (33.7678195, -118.1245997), (33.7677866, -118.1245498), (33.7677569, -118.124446), (33.7677491, -118.1243325), (33.7677568, -118.1243061), (33.767783, -118.1242158), (33.7677934, -118.1241229), (33.7677827, -118.1240137), (33.7677321, -118.1238565), (33.7677165, -118.123808), (33.7674764, -118.1232243), (33.7674239, -118.1231245)]"
East Monita Street,33.7718114,-118.110434,"[(33.7718114, -118.110434), (33.7718753, -118.1103573), (33.7718854, -118.1103451), (33.7720174, -118.1101495), (33.7721173, -118.1099701), (33.7722704, -118.1095902), (33.7724068, -118.1091206), (33.7724933, -118.1087426), (33.772581, -118.1083193), (33.7727341, -118.1074686)]"
North Virgil Walk,33.7518844,-118.1227543,"[(33.7518844, -118.1227543), (33.7521092, -118.1226892), (33.7525457, -118.1225796), (33.7527936, -118.122629)]"
North Springdale Drive,33.8154923,-118.219451,"[(33.8154923, -118.219451), (33.8155321, -118.2195995), (33.8155316, -118.219792), (33.8154646, -118.2199344), (33.8150926, -118.2203062), (33.8145108, -118.2208875), (33.8144715, -118.220921), (33.8141816, -118.2211684), (33.8139286, -118.2212209), (33.8135666, -118.2212156), (33.813529, -118.2212105), (33.8128458, -118.2212234), (33.8127347, -118.2212179), (33.8120892, -118.2211859), (33.8119805, -118.2210912), (33.8118897, -118.2208908), (33.8118921, -118.2207526), (33.8119198, -118.2198059), (33.8118994, -118.2196398), (33.8118646, -118.2192961), (33.811904, -118.2188574), (33.8119388, -118.218694), (33.8127123, -118.2186928), (33.8135039, -118.2186916), (33.8135371, -118.2186939), (33.8139503, -118.2187231), (33.8143597, -118.2186936), (33.8144874, -118.2186844), (33.8149796, -118.2186453), (33.8150919, -118.2186958), (33.8151719, -118.218838), (33.8151915, -118.218972), (33.8151965, -118.2191511), (33.8152282, -118.2192704), (33.8154923, -118.219451)]"
Killdee Street,33.8166659,-118.1026888,"[(33.8166659, -118.1026888), (33.8166547, -118.1010546), (33.8166475, -118.1001971), (33.8166652, -118.0993812)]"
Killdee Street,33.8159176,-118.1105833,"[(33.8159176, -118.1105833), (33.8159766, -118.1105273), (33.8163376, -118.1101847), (33.816316, -118.108799)]"
Killdee Street,33.8166768,-118.1214281,"[(33.8166768, -118.1214281), (33.8166787, -118.121339), (33.8166676, -118.1204471), (33.8166548, -118.1167348)]"
Killdee Street,33.8166826,-118.1292468,"[(33.8166826, -118.1292468), (33.8166645, -118.1254557)]"
Elm Avenue,33.8441281,-118.1883335,"[(33.8441281, -118.1883335), (33.8449088, -118.1883082)]"
Elm Avenue,33.8122698,-118.18828,"[(33.8122698, -118.18828), (33.8133981, -118.1882733), (33.8134522, -118.1882734), (33.8135488, -118.1882726), (33.8139666, -118.1882716), (33.8152755, -118.1882682), (33.8159017, -118.1882655), (33.8161454, -118.1882419)]"
Elm Avenue,33.8173627,-118.188248,"[(33.8173627, -118.188248), (33.817428, -118.1882685), (33.8175899, -118.1882702), (33.8182548, -118.1882793), (33.818811, -118.1882866), (33.818915, -118.188288)]"
Elm Avenue,33.8355935,-118.1872332,"[(33.8355935, -118.1872332), (33.8357193, -118.1873243), (33.8358008, -118.1873843), (33.8368308, -118.1881424), (33.8370669, -118.1883161), (33.8373476, -118.1884136), (33.8374189, -118.1886014), (33.8374942, -118.1887943), (33.8377405, -118.1891732), (33.8379149, -118.1893576), (33.8380135, -118.1894401), (33.8381882, -118.1895547), (33.8384093, -118.1896388), (33.8386505, -118.1897067), (33.8394019, -118.1896853), (33.8394835, -118.1896838), (33.8395747, -118.1896854), (33.840216, -118.189702), (33.841464, -118.189677), (33.8418566, -118.1897496)]"
Elm Avenue,33.8189113,-118.1879419,"[(33.8189113, -118.1879419), (33.8190472, -118.1879414), (33.8192892, -118.1879427), (33.8193763, -118.1879429), (33.819546, -118.1879433), (33.8196478, -118.1879435), (33.8202295, -118.1879447), (33.8212501, -118.187947), (33.8214476, -118.1879474), (33.8215925, -118.1879488), (33.8220583, -118.187948), (33.8221259, -118.1879476), (33.8222478, -118.187947), (33.8230461, -118.1879452), (33.8231225, -118.187945), (33.8236312, -118.1879416), (33.8242116, -118.187939), (33.8251207, -118.1879368), (33.8253614, -118.1879363), (33.8258209, -118.1879352), (33.8266177, -118.1879474), (33.8266519, -118.1879479), (33.8267239, -118.1879491), (33.8268052, -118.1879485), (33.826831, -118.1879483), (33.8289375, -118.1879351), (33.8298955, -118.187934), (33.8307182, -118.1879326), (33.8317666, -118.1879366), (33.832545, -118.1879404)]"
Elm Avenue,33.7664934,-118.1876747,"[(33.7664934, -118.1876747), (33.7664629, -118.1877157), (33.7663525, -118.1877182), (33.7663185, -118.187686)]"
North Eliot Lane,33.7698974,-118.135581,"[(33.7698974, -118.135581), (33.7684681, -118.135584), (33.7681625, -118.1355831), (33.7680848, -118.1355832)]"
Obispo Avenue,33.7646001,-118.1546043,"[(33.7646001, -118.1546043), (33.7647059, -118.1546042), (33.7649238, -118.1546058), (33.7650282, -118.1546078), (33.7655428, -118.154607), (33.7660565, -118.154606)]"
Saint Louis Avenue,33.7717293,-118.1666685,"[(33.7717293, -118.1666685), (33.7718273, -118.1666714), (33.7722389, -118.166669), (33.7744533, -118.1666619), (33.7748614, -118.1666628), (33.7752337, -118.1666633), (33.7753492, -118.166664)]"
Saint Louis Avenue,33.8152183,-118.1663365,"[(33.8152183, -118.1663365), (33.8149069, -118.1663427), (33.8145748, -118.16633)]"
Saint Louis Avenue,33.7753496,-118.1665823,"[(33.7753496, -118.1665823), (33.7754676, -118.1665807), (33.7758005, -118.1665806), (33.7758569, -118.1665781), (33.7771482, -118.166573), (33.7771788, -118.1665722), (33.7772508, -118.166573), (33.7785456, -118.1665734), (33.7788944, -118.166573), (33.7789712, -118.1665734), (33.779076, -118.1665728), (33.7794239, -118.1665723), (33.7807821, -118.1665692), (33.7819335, -118.1665648), (33.7821138, -118.1665641), (33.7824921, -118.1665648), (33.782605, -118.1665654)]"
61st Place,33.7483853,-118.1237455,"[(33.7483853, -118.1237455), (33.7488003, -118.1234313)]"
East Silva Street,33.8462186,-118.1584232,"[(33.8462186, -118.1584232), (33.8468845, -118.1584219), (33.8469594, -118.1584251), (33.8470137, -118.1584287), (33.8471384, -118.1584341), (33.8472356, -118.1584347), (33.8472732, -118.1584354), (33.8478981, -118.1584435), (33.8479404, -118.1584166), (33.847956, -118.1583429), (33.8479682, -118.1573116), (33.8479851, -118.1548802), (33.847986, -118.1547573), (33.8479867, -118.154675), (33.8480165, -118.151387)]"
Silva Street,33.8478971,-118.1145944,"[(33.8478971, -118.1145944), (33.8478919, -118.11171), (33.8478828, -118.1090449)]"
East Silva Street,33.847937,-118.1634704,"[(33.847937, -118.1634704), (33.8479402, -118.1612376)]"
Santa Ana Avenue,33.7601749,-118.1305673,"[(33.7601749, -118.1305673), (33.7601164, -118.1305908), (33.7600716, -118.1306189), (33.759591, -118.1309267), (33.7591874, -118.1311862), (33.7589384, -118.1313513), (33.7588505, -118.1314096)]"
De Soto Street,33.7707551,-118.160606,"[(33.7707551, -118.160606), (33.7707559, -118.1605197), (33.7707524, -118.1590433), (33.7707521, -118.15895)]"
East Harrison Street,33.8377452,-118.2236933,"[(33.8377452, -118.2236933), (33.8376954, -118.2235394)]"
West 20th Street,33.791613,-118.2237924,"[(33.791613, -118.2237924), (33.7916065, -118.223452), (33.7916064, -118.2221908), (33.7916073, -118.2220664), (33.7916138, -118.2212093), (33.7916147, -118.2210848), (33.7916218, -118.220144)]"
West 20th Street,33.793496,-118.192401,"[(33.793496, -118.192401), (33.7934949, -118.1930291), (33.7934947, -118.1937329), (33.7934932, -118.1943084), (33.7934943, -118.1944535), (33.7934966, -118.1948108), (33.7934965, -118.1950985), (33.7934986, -118.1953653), (33.7934985, -118.1957497), (33.7935056, -118.1959027), (33.7935003, -118.196404), (33.7934973, -118.196448), (33.7935021, -118.196994), (33.793501, -118.1970235), (33.7934999, -118.1975427), (33.7934969, -118.1976178), (33.7935007, -118.1980913)]"
West 20th Street,33.793491,-118.2104972,"[(33.793491, -118.2104972), (33.7934913, -118.2105863), (33.7934933, -118.211143), (33.7934944, -118.212153), (33.7934953, -118.2129973), (33.7934973, -118.2138168), (33.7934971, -118.2146301), (33.7934975, -118.2150541), (33.7934979, -118.2153841)]"
Claremont Place,33.7541073,-118.1336053,"[(33.7541073, -118.1336053), (33.754034, -118.1336586), (33.7539925, -118.1336883), (33.7539872, -118.1336928), (33.7539283, -118.1337364), (33.7537951, -118.1338391), (33.7537231, -118.1338946)]"
Pixie Avenue,33.8405995,-118.1618117,"[(33.8405995, -118.1618117), (33.8426983, -118.1617999), (33.8447781, -118.1617995)]"
Pixie Avenue,33.8339453,-118.1626693,"[(33.8339453, -118.1626693), (33.8354026, -118.1626656), (33.8355162, -118.1626522), (33.8356062, -118.1625843), (33.83569, -118.1625128), (33.8362699, -118.1618275), (33.8374217, -118.1618194), (33.839167, -118.1618243)]"
Pixie Avenue,33.8323549,-118.1622736,"[(33.8323549, -118.1622736), (33.8324757, -118.162275), (33.8325776, -118.1622712), (33.8326081, -118.1622705), (33.8339408, -118.1622603)]"
Edith Way,33.8306613,-118.1990161,"[(33.8306613, -118.1990161), (33.8306552, -118.199193), (33.8306236, -118.1993875), (33.8306042, -118.199577), (33.8307499, -118.2001216), (33.8307378, -118.2002108), (33.8306881, -118.2002576), (33.8306769, -118.2002681), (33.8305192, -118.2003102), (33.8304171, -118.2004389), (33.8303722, -118.2005778), (33.8302774, -118.200765), (33.8301827, -118.2008542), (33.8300807, -118.2010881), (33.8299762, -118.2012928), (33.8299507, -118.2014186), (33.8299288, -118.2015429), (33.8297796, -118.2018704)]"
Crescent Drive,33.7925028,-118.1584508,"[(33.7925028, -118.1584508), (33.7936613, -118.1584474), (33.793961, -118.158395), (33.7941348, -118.1584062), (33.7942457, -118.158453), (33.7943575, -118.158479), (33.7945281, -118.1584722), (33.7947807, -118.158434), (33.7954577, -118.1584564), (33.7957505, -118.1584497), (33.7959468, -118.1583771), (33.7960822, -118.158228), (33.7962438, -118.1578868)]"
East Lucia Walk,33.7535821,-118.1230789,"[(33.7535821, -118.1230789), (33.7536674, -118.122415), (33.7536964, -118.1223707), (33.7537151, -118.1223428), (33.7537858, -118.122316)]"
East Birkdale Street,33.8075575,-118.1126735,"[(33.8075575, -118.1126735), (33.8075145, -118.1125405), (33.8073438, -118.1123051), (33.8073148, -118.1122327), (33.8072981, -118.1121562), (33.8072936, -118.1118817), (33.8072923, -118.1117987)]"
Virginia Avenue,33.8448348,-118.1969786,"[(33.8448348, -118.1969786), (33.8449017, -118.1969801), (33.8460475, -118.196992), (33.8465179, -118.1969997), (33.84659, -118.196984), (33.846723, -118.1969391)]"
Virginia Avenue,33.8430189,-118.1967034,"[(33.8430189, -118.1967034), (33.8430918, -118.1967064), (33.8438752, -118.1967108), (33.8439253, -118.1967107), (33.8439853, -118.196713), (33.8447832, -118.1967223), (33.8448324, -118.1967248)]"
Virginia Avenue,33.8425214,-118.1969696,"[(33.8425214, -118.1969696), (33.84293, -118.1969783), (33.8430111, -118.196983)]"
Virginia Avenue,33.8414342,-118.1969472,"[(33.8414342, -118.1969472), (33.8420249, -118.1969446)]"
Sparrow Hill Lane,33.8481803,-118.1663132,"[(33.8481803, -118.1663132), (33.8481943, -118.1648213), (33.8481951, -118.1647343)]"
Gish Avenue,33.7873904,-118.1369864,"[(33.7873904, -118.1369864), (33.787971, -118.1364662)]"
West Devon Place,33.8329078,-118.1986677,"[(33.8329078, -118.1986677), (33.8333215, -118.1996935)]"
Glorywhite Street,33.848693,-118.1072614,"[(33.848693, -118.1072614), (33.84875, -118.1072271), (33.8487714, -118.1071412), (33.8487785, -118.1069867), (33.8489233, -118.1061987), (33.8490851, -118.1052873), (33.8491064, -118.1051156), (33.8490993, -118.1049869), (33.8490708, -118.1048581), (33.8490138, -118.1047208), (33.8487162, -118.1041681), (33.8486574, -118.1040599), (33.8486216, -118.1039923), (33.8482796, -118.1033561), (33.8479089, -118.1026523), (33.8475453, -118.1019742), (33.8473315, -118.1015365), (33.8472816, -118.1014421), (33.8472459, -118.1013305), (33.8472357, -118.1011588), (33.847242, -118.1009144), (33.8472451, -118.1007978)]"
Bixby Terrace Drive,33.7741469,-118.1087011,"[(33.7741469, -118.1087011), (33.7742679, -118.1086964)]"
Broadacres Avenue,33.849788,-118.2404517,"[(33.849788, -118.2404517), (33.8494459, -118.2404431)]"
Pasadena Avenue,33.8025732,-118.187209,"[(33.8025732, -118.187209), (33.8030033, -118.187206), (33.8037918, -118.1872056), (33.8038558, -118.1872067)]"
Pasadena Avenue,33.7989409,-118.1872081,"[(33.7989409, -118.1872081), (33.7990199, -118.1872074), (33.7998488, -118.1872013), (33.8006809, -118.1872037), (33.8007595, -118.1872041), (33.800838, -118.187203), (33.8016675, -118.187192), (33.8025732, -118.187209)]"
Pasadena Avenue,33.7898692,-118.1872069,"[(33.7898692, -118.1872069), (33.7900092, -118.1872051), (33.7902632, -118.1872074), (33.7907665, -118.1872097), (33.7912282, -118.1872054), (33.7916769, -118.1872024), (33.7921343, -118.1871924), (33.7925842, -118.1872071), (33.7930463, -118.1872155), (33.7935001, -118.18721), (33.793977, -118.1872054), (33.7940986, -118.1872067), (33.7944069, -118.1872083), (33.7953152, -118.1872104)]"
North Corinthian Walk,33.7548293,-118.1235359,"[(33.7548293, -118.1235359), (33.7549128, -118.1239659), (33.7549473, -118.1241552), (33.7549563, -118.1242552), (33.7549556, -118.1243506), (33.7549326, -118.1245188), (33.7548887, -118.1246672), (33.7548319, -118.1248062), (33.7547422, -118.1249466), (33.7546375, -118.125072), (33.7545327, -118.1251618), (33.7543861, -118.1252382), (33.7543079, -118.125264)]"
Empire Landing,33.7651797,-118.1237221,"[(33.7651797, -118.1237221), (33.7652242, -118.1236713), (33.7655633, -118.1232494)]"
East Spaulding Way,33.7856901,-118.167663,"[(33.7856901, -118.167663), (33.7856827, -118.1665576)]"
North Campo Drive,33.7572935,-118.1254123,"[(33.7572935, -118.1254123), (33.7574028, -118.1253826), (33.757461, -118.1253659), (33.7575008, -118.1253538), (33.7575421, -118.1253435), (33.7577971, -118.1252799), (33.7589644, -118.1249824)]"
Rose Avenue,33.8189288,-118.1698192,"[(33.8189288, -118.1698192), (33.8190401, -118.169817), (33.8194039, -118.1698098), (33.8221526, -118.1698152), (33.8242131, -118.1698044), (33.8267092, -118.169812), (33.8289375, -118.1698088), (33.8314713, -118.1697991)]"
Rose Avenue,33.782593,-118.169825,"[(33.782593, -118.169825), (33.7827386, -118.1698245), (33.7831591, -118.1698239), (33.7844184, -118.169821), (33.785774, -118.1698368), (33.7862387, -118.1698418), (33.7880277, -118.1698335), (33.7880949, -118.1698322), (33.7888894, -118.1698253), (33.7893871, -118.1698204), (33.789732, -118.1698171), (33.7898619, -118.169816)]"
Rose Avenue,33.8007636,-118.1698326,"[(33.8007636, -118.1698326), (33.8008394, -118.1698327), (33.8025109, -118.1698484), (33.8025755, -118.1698492)]"
Spaulding Street,33.7859127,-118.1589402,"[(33.7859127, -118.1589402), (33.7858881, -118.1588604), (33.7858833, -118.1588455), (33.7857945, -118.1586952), (33.7853952, -118.1580569), (33.7853875, -118.1578215), (33.7853855, -118.1571535), (33.7853859, -118.1567782), (33.7853875, -118.1556821), (33.7853841, -118.1551611), (33.7853783, -118.1547044), (33.7853792, -118.154593)]"
East Spaulding Street,33.7853527,-118.1665594,"[(33.7853527, -118.1665594), (33.7853528, -118.1664974), (33.7853626, -118.1658479), (33.7853543, -118.1655551), (33.7853445, -118.1655125), (33.7853271, -118.1654364), (33.785326, -118.1642287), (33.7853257, -118.1639464), (33.7853289, -118.1633297), (33.78532, -118.1611861), (33.7853197, -118.161107), (33.7853199, -118.1610446), (33.7853272, -118.1590437), (33.7853269, -118.1589463)]"
Pacifica Lane,33.7680753,-118.1206007,"[(33.7680753, -118.1206007), (33.768102, -118.1206813), (33.7681019, -118.1207572), (33.7680999, -118.1209359), (33.7680755, -118.1210119)]"
Lido Lane,33.7534746,-118.1178072,"[(33.7534746, -118.1178072), (33.7532373, -118.1175755), (33.7531786, -118.1174903), (33.7530787, -118.1171177), (33.7528868, -118.1167477), (33.7527078, -118.1163739), (33.7525181, -118.1159805), (33.7523105, -118.1156491), (33.7521722, -118.1153074), (33.7522135, -118.1152023), (33.7522255, -118.1151716), (33.7523751, -118.1147908)]"
Rogene Street,33.806262,-118.1193185,"[(33.806262, -118.1193185), (33.8058631, -118.1184977), (33.8058542, -118.1168857)]"
East Corto Place,33.7650282,-118.1546078,"[(33.7650282, -118.1546078), (33.7650303, -118.1551405), (33.7650346, -118.1558982), (33.7650002, -118.15602), (33.7649159, -118.1561022)]"
East Walnut Way,33.786817,-118.173101,"[(33.786817, -118.173101), (33.7868175, -118.1720995), (33.7868176, -118.1719996)]"
Allred Street,33.8460201,-118.1511956,"[(33.8460201, -118.1511956), (33.846016, -118.147201)]"
Allred Street,33.8462186,-118.1584232,"[(33.8462186, -118.1584232), (33.8462218, -118.1547546)]"
Allred Street,33.8461921,-118.1634595,"[(33.8461921, -118.1634595), (33.8461917, -118.162043), (33.8462006, -118.1613), (33.8462418, -118.161241)]"
Washington Place,33.7753514,-118.181317,"[(33.7753514, -118.181317), (33.775467, -118.1813163), (33.7758892, -118.1813148), (33.776465, -118.1813152), (33.77655, -118.1813156), (33.7766713, -118.181315), (33.7770934, -118.1813148), (33.7776717, -118.1813116), (33.7777875, -118.1813095), (33.777877, -118.1813124), (33.7783086, -118.1813117), (33.778885, -118.1813124), (33.7789806, -118.181313)]"
Pepperwood Avenue,33.7968985,-118.1410668,"[(33.7968985, -118.1410668), (33.7969146, -118.1411792), (33.7969533, -118.1414513), (33.797079, -118.1417251), (33.7972573, -118.1419126), (33.797516, -118.1420149), (33.7977264, -118.1420274), (33.7996219, -118.142004), (33.7997043, -118.1420033), (33.7997947, -118.142003), (33.801701, -118.1420037), (33.8018041, -118.1419712), (33.801926, -118.1418515), (33.8022862, -118.1410704)]"
Pepperwood Avenue,33.8338465,-118.140962,"[(33.8338465, -118.140962), (33.8338923, -118.141011), (33.8341339, -118.1412695), (33.8342632, -118.1413526), (33.8343145, -118.141371), (33.8343679, -118.1413902), (33.8345281, -118.1414029)]"
Chestnut Avenue,33.7693088,-118.1963814,"[(33.7693088, -118.1963814), (33.7693965, -118.1963821), (33.7698286, -118.1963811), (33.7705045, -118.196384)]"
Chestnut Avenue,33.7848684,-118.196365,"[(33.7848684, -118.196365), (33.7862395, -118.1963563), (33.7880568, -118.1963534), (33.7897305, -118.1963539), (33.7898719, -118.1963645), (33.790008, -118.1963996), (33.7900926, -118.1964027), (33.7902718, -118.1964043)]"
Septimo Street,33.7754087,-118.1008882,"[(33.7754087, -118.1008882), (33.7753782, -118.099062), (33.7754133, -118.0988667)]"
Greentop Street,33.8398823,-118.163487,"[(33.8398823, -118.163487), (33.8398913, -118.1626313), (33.8398981, -118.1601356)]"
