name,lat,lon,coordinates
Elm Avenue,33.7953169,-118.1882414,"[(33.7953169, -118.1882414), (33.7953885, -118.188242), (33.7970508, -118.188241), (33.7971296, -118.188241), (33.7972074, -118.1882405), (33.7987119, -118.188232), (33.7989379, -118.188234), (33.7998505, -118.1882385), (33.8006653, -118.1882371), (33.8007578, -118.1882376), (33.8008258, -118.1882368), (33.8016617, -118.1882347), (33.8024974, -118.1882349), (33.8025735, -118.188235), (33.8026596, -118.1882348), (33.8037915, -118.1882331), (33.8039289, -118.1882329), (33.8039779, -118.1882337), (33.8042581, -118.188235), (33.8043441, -118.188239), (33.8044659, -118.1882874)]"
Elm Avenue,33.8492288,-118.1883406,"[(33.8492288, -118.1883406), (33.8498541, -118.1883617), (33.8505029, -118.188359), (33.8511602, -118.1883669), (33.8517976, -118.1883665), (33.8524209, -118.1883742), (33.8533273, -118.1883761), (33.8542301, -118.188376), (33.8543282, -118.1883764), (33.854415, -118.1883762), (33.85513, -118.188378)]"
Elm Avenue,33.7831457,-118.1879893,"[(33.7831457, -118.1879893), (33.7838405, -118.1879954), (33.7845902, -118.1879909), (33.7857922, -118.1879996), (33.7862424, -118.1879874), (33.7864166, -118.1879866), (33.7870629, -118.1879851), (33.7871492, -118.187995)]"
Glendora Avenue,33.7616675,-118.1311708,"[(33.7616675, -118.1311708), (33.7617351, -118.1311158), (33.7618346, -118.1310028), (33.7619543, -118.130849), (33.7622046, -118.1305227), (33.7624211, -118.1302023), (33.7626423, -118.1298289), (33.7626903, -118.1297483), (33.762725, -118.1296631), (33.7628973, -118.1292422), (33.7630894, -118.1286599), (33.7631986, -118.1281517), (33.7632203, -118.1280487), (33.7632362, -118.1279438), (33.7632804, -118.1276747), (33.7633178, -118.1273071)]"
Conquista Avenue,33.8121219,-118.1088052,"[(33.8121219, -118.1088052), (33.8151537, -118.1087928), (33.816316, -118.108799)]"
Conquista Avenue,33.8204394,-118.1084054,"[(33.8204394, -118.1084054), (33.8204836, -118.1084633), (33.8205376, -118.108534), (33.8206878, -118.1087185), (33.8209005, -118.1088541), (33.8211458, -118.1089033), (33.8221111, -118.1089077), (33.8221793, -118.1089083), (33.8222777, -118.1089079), (33.824924, -118.108906), (33.8250013, -118.1089059)]"
Conquista Avenue,33.8323095,-118.1088866,"[(33.8323095, -118.1088866), (33.8323788, -118.1088853), (33.8324368, -118.1088843), (33.8360205, -118.1088704), (33.8395178, -118.108849), (33.8402317, -118.1088237), (33.840927, -118.10882), (33.8417151, -118.1088158), (33.8424506, -118.1088118), (33.8431135, -118.1088083), (33.8431898, -118.1088079), (33.8432792, -118.1088075), (33.8468313, -118.1087911), (33.8468758, -118.1087898), (33.8469495, -118.1087877)]"
Conquista Avenue,33.8249981,-118.1085593,"[(33.8249981, -118.1085593), (33.825112, -118.1085591), (33.8275326, -118.108554), (33.8300913, -118.1085295), (33.8301876, -118.1085726), (33.8302473, -118.1086544)]"
Conquista Avenue,33.795709,-118.1092325,"[(33.795709, -118.1092325), (33.7957722, -118.1092239), (33.7970334, -118.1092098), (33.7971226, -118.109183), (33.7973201, -118.1089711)]"
Conquista Avenue,33.7908109,-118.1091204,"[(33.7908109, -118.1091204), (33.7915243, -118.1091159), (33.7921673, -118.1090838), (33.7922535, -118.109087), (33.7923445, -118.1090905), (33.7935234, -118.1090872), (33.7939068, -118.1090859), (33.7940665, -118.1091134), (33.7942568, -118.1092066), (33.7944329, -118.10933)]"
Cedar Avenue,33.8152825,-118.194805,"[(33.8152825, -118.194805), (33.8152042, -118.1948045), (33.813544, -118.1947955), (33.8134616, -118.1947958), (33.813388, -118.1947958), (33.8117422, -118.194813), (33.8116474, -118.1948144), (33.8115661, -118.1948133), (33.8099092, -118.1947986), (33.8098351, -118.1947985), (33.809747, -118.1947981), (33.8081055, -118.1948106), (33.8080238, -118.194809), (33.8079448, -118.1948097), (33.8062121, -118.1948087), (33.8048261, -118.1948028), (33.8045353, -118.1948027), (33.8044329, -118.1948053), (33.8043334, -118.1948094), (33.8042589, -118.1948077), (33.8040647, -118.1948107), (33.8026576, -118.194831), (33.8025872, -118.1948325), (33.8024977, -118.1948304), (33.800847, -118.1948016), (33.8007536, -118.1948002), (33.8006831, -118.1948), (33.7990283, -118.1948009), (33.7989392, -118.1948011), (33.7988678, -118.194801), (33.7971241, -118.194801), (33.7953199, -118.1948134), (33.7935818, -118.1948144), (33.7934966, -118.1948108)]"
Cedar Avenue,33.8267228,-118.1960242,"[(33.8267228, -118.1960242), (33.8288845, -118.1962777), (33.8289468, -118.1962859), (33.8290288, -118.1962953), (33.8302144, -118.1964446), (33.8314236, -118.1965735), (33.8315713, -118.1965654), (33.8317687, -118.1965235), (33.8318141, -118.1965142), (33.8318819, -118.1964811), (33.8319746, -118.1964367), (33.8322506, -118.196177), (33.8324634, -118.1958564), (33.8326185, -118.1953088)]"
Cedar Avenue,33.7710317,-118.1950952,"[(33.7710317, -118.1950952), (33.771735, -118.195094)]"
Cedar Avenue,33.7753504,-118.195095,"[(33.7753504, -118.195095), (33.7758838, -118.1950969), (33.7765765, -118.1950952), (33.7771006, -118.1950939), (33.777755, -118.195088), (33.7783003, -118.1950964), (33.7789798, -118.1950912), (33.7798451, -118.1950978), (33.7814163, -118.1950957), (33.7819894, -118.195088), (33.7822809, -118.1950934), (33.7826093, -118.1950819), (33.7829986, -118.1950905), (33.7830344, -118.1950905), (33.7836372, -118.1950862), (33.7837097, -118.1950869)]"
Woodruff Avenue,33.8022599,-118.1142886,"[(33.8022599, -118.1142886), (33.8023494, -118.1143618), (33.8024889, -118.1144599), (33.8026445, -118.1145133), (33.8027178, -118.1145256), (33.8028552, -118.1145244)]"
Corinne Avenue,33.7906042,-118.1792385,"[(33.7906042, -118.1792385), (33.7912709, -118.1792397)]"
Carita Street,33.8243312,-118.1292191,"[(33.8243312, -118.1292191), (33.8243222, -118.1274511), (33.8243037, -118.1254137)]"
Carita Street,33.8242907,-118.1138279,"[(33.8242907, -118.1138279), (33.8243097, -118.1129742), (33.8242995, -118.1097303)]"
Carita Street,33.8243503,-118.1337184,"[(33.8243503, -118.1337184), (33.8243409, -118.130407)]"
East Carita Street,33.8240947,-118.1175496,"[(33.8240947, -118.1175496), (33.8241702, -118.1175354), (33.8242479, -118.1174547), (33.8242922, -118.1173554), (33.8243005, -118.1172544), (33.8243012, -118.1167729), (33.8242996, -118.1165663)]"
East 6th Street,33.7740808,-118.1807222,"[(33.7740808, -118.1807222), (33.7740441, -118.1806027)]"
68th Place,33.7461823,-118.1197412,"[(33.7461823, -118.1197412), (33.7466634, -118.1193849), (33.7467463, -118.1193174), (33.7469908, -118.1191354)]"
Viking Way,33.8322416,-118.1271149,"[(33.8322416, -118.1271149), (33.8323591, -118.1271147), (33.8328649, -118.1264675), (33.8329001, -118.126424), (33.8331352, -118.1261335), (33.8333749, -118.1258556), (33.833426, -118.1257964), (33.8336782, -118.1254935), (33.8337205, -118.125401), (33.8337328, -118.1253232), (33.8337362, -118.1252506), (33.8337367, -118.1250864)]"
Dablon Avenue,33.8294071,-118.249316,"[(33.8294071, -118.249316), (33.8285768, -118.2493066), (33.8282394, -118.2494733)]"
64th Place,33.7473547,-118.1220504,"[(33.7473547, -118.1220504), (33.7478721, -118.1216686), (33.7479384, -118.1216188), (33.7487818, -118.1209858)]"
Spinnaker Bay Drive,33.7668093,-118.1255783,"[(33.7668093, -118.1255783), (33.7668464, -118.1255561), (33.7669203, -118.1255734), (33.7670204, -118.1255675), (33.7670595, -118.1255513), (33.7671932, -118.1254938)]"
Spinnaker Bay Drive,33.7622301,-118.1205253,"[(33.7622301, -118.1205253), (33.7625396, -118.1209024), (33.7631769, -118.1215838), (33.7637649, -118.122268), (33.7639492, -118.1224759), (33.7641248, -118.1226399), (33.7644442, -118.1228875), (33.7645737, -118.1229768), (33.7647217, -118.1230747), (33.7648516, -118.1231919), (33.7649814, -118.1233399), (33.7650564, -118.1234698), (33.7651797, -118.1237221), (33.7653958, -118.1240586), (33.7657887, -118.1244409), (33.7662328, -118.1249623), (33.7665647, -118.1253213), (33.7667685, -118.1255388), (33.7668093, -118.1255783)]"
East Spaulding Court,33.7849582,-118.1665592,"[(33.7849582, -118.1665592), (33.7849502, -118.1655136)]"
North Raymond Avenue,33.7916824,-118.1644045,"[(33.7916824, -118.1644045), (33.7934937, -118.1643989), (33.7939288, -118.1644027), (33.7952242, -118.1643935), (33.7953017, -118.164393)]"
Raymond Avenue,33.7826049,-118.1643966,"[(33.7826049, -118.1643966), (33.7827384, -118.1643981), (33.7827952, -118.1643993), (33.7831073, -118.164402), (33.78434, -118.1643889), (33.7844202, -118.1643885)]"
Raymond Avenue,33.8044712,-118.1643538,"[(33.8044712, -118.1643538), (33.8045614, -118.1643534), (33.8046766, -118.1643543), (33.8052359, -118.1643482), (33.8056859, -118.1643435), (33.806229, -118.164337), (33.8067641, -118.1643379), (33.8072535, -118.1643379), (33.8074501, -118.1643379), (33.8078535, -118.1643379), (33.8079769, -118.164337), (33.8080424, -118.1643379)]"
Rancho Drive,33.7754261,-118.1082679,"[(33.7754261, -118.1082679), (33.7754373, -118.1080452), (33.7755067, -118.1078831), (33.7756532, -118.1076377), (33.7757079, -118.107497), (33.7757403, -118.1073474), (33.7757403, -118.1071619), (33.7757756, -118.1069207), (33.775888, -118.1065683), (33.775925, -118.1062574), (33.7759314, -118.1060952), (33.7760683, -118.1058377), (33.7762099, -118.1057057), (33.7763538, -118.1056594), (33.7774376, -118.1055067), (33.7775241, -118.1054918), (33.7778107, -118.105452)]"
Autry Avenue,33.8430261,-118.1272398,"[(33.8430261, -118.1272398), (33.8459301, -118.1272215), (33.8468854, -118.1272215)]"
Reese Drive,33.7774223,-118.104673,"[(33.7774223, -118.104673), (33.7773623, -118.1045816), (33.7773056, -118.1045503), (33.7772462, -118.1045285), (33.7770115, -118.1045356), (33.7769045, -118.1045678), (33.7768156, -118.1046138)]"
Quigley Avenue,33.8335434,-118.1008823,"[(33.8335434, -118.1008823), (33.8335287, -118.0997247), (33.8335242, -118.0996415), (33.8335521, -118.0995634), (33.8335848, -118.0995372), (33.8342106, -118.099214), (33.8344644, -118.0990488), (33.8347117, -118.0988825), (33.834988, -118.0986545), (33.8354116, -118.098298), (33.8354787, -118.0982249), (33.8357192, -118.0979741), (33.8373964, -118.0959911)]"
East L Street,33.7875354,-118.2478527,"[(33.7875354, -118.2478527), (33.7875145, -118.248218), (33.7874692, -118.2490136), (33.7874474, -118.2493955), (33.7874205, -118.2498673), (33.7873744, -118.2507309), (33.7873586, -118.2510493), (33.7873312, -118.2515792), (33.7872541, -118.2530493), (33.7872139, -118.253747), (33.7871938, -118.254114), (33.7871842, -118.254288), (33.7871542, -118.2548048), (33.7871183, -118.2553462), (33.7871092, -118.255505), (33.7870935, -118.2558893), (33.7870532, -118.2565218), (33.787018, -118.2571419), (33.7870049, -118.2575159), (33.7869908, -118.257791), (33.786957, -118.2584513), (33.7869107, -118.2591782), (33.7868778, -118.259884), (33.7868378, -118.2606158), (33.7868075, -118.261176), (33.7868046, -118.2612304), (33.7867995, -118.2613258), (33.7867915, -118.2614566), (33.7867887, -118.2615036), (33.7867492, -118.2621569), (33.7867187, -118.2628494), (33.7867131, -118.2629748)]"
East L Street,33.7872268,-118.2451106,"[(33.7872268, -118.2451106), (33.7872554, -118.2445698), (33.7872948, -118.2436358), (33.787337, -118.2428604), (33.7873284, -118.242818)]"
Regatta Way,33.7462767,-118.1121658,"[(33.7462767, -118.1121658), (33.7463276, -118.1121019), (33.7463703, -118.1120498)]"
Lomina Avenue,33.7926563,-118.1190155,"[(33.7926563, -118.1190155), (33.7931422, -118.1195519), (33.7932515, -118.1196243), (33.7933808, -118.1196565), (33.7948148, -118.1196551), (33.7960004, -118.1196462)]"
Lomina Avenue,33.8107005,-118.119847,"[(33.8107005, -118.119847), (33.8113852, -118.1198451), (33.8121931, -118.119842), (33.8137951, -118.1198304)]"
Lomina Avenue,33.807286,-118.1199808,"[(33.807286, -118.1199808), (33.8074063, -118.1202463), (33.8075044, -118.1203697), (33.8076369, -118.1204435), (33.809014, -118.1204459), (33.809714, -118.120422)]"
Lomina Avenue,33.8223282,-118.1191973,"[(33.8223282, -118.1191973), (33.8224067, -118.1192008), (33.8239948, -118.1192228), (33.8241705, -118.1192143), (33.8244487, -118.1191281), (33.8246397, -118.1190898), (33.8249891, -118.1190975), (33.8250642, -118.1190965), (33.8276233, -118.1190747), (33.8276857, -118.1190798), (33.8294811, -118.1190678)]"
West Willard Street,33.794612,-118.1923904,"[(33.794612, -118.1923904), (33.7946118, -118.1925198), (33.7946109, -118.1930263), (33.7946075, -118.1935787), (33.7946088, -118.1937281)]"
Fanwood Avenue,33.7941528,-118.1161907,"[(33.7941528, -118.1161907), (33.7958483, -118.1161831), (33.7959995, -118.1161981)]"
Fanwood Avenue,33.8000094,-118.1155584,"[(33.8000094, -118.1155584), (33.8016827, -118.1155646)]"
Fanwood Avenue,33.8044521,-118.1160442,"[(33.8044521, -118.1160442), (33.8070884, -118.1160257), (33.8071776, -118.1160096), (33.8072845, -118.1159693), (33.8074004, -118.1158862), (33.8075805, -118.1156869)]"
Fanwood Avenue,33.8195639,-118.1146433,"[(33.8195639, -118.1146433), (33.8195777, -118.1154196), (33.8196642, -118.1154804), (33.8223033, -118.1154694), (33.8242823, -118.1154909), (33.8242912, -118.1150789)]"
Fanwood Avenue,33.8153363,-118.1163013,"[(33.8153363, -118.1163013), (33.8153973, -118.1160125), (33.8155288, -118.1158382), (33.8157271, -118.1156611), (33.8159288, -118.1155471), (33.8160229, -118.115514), (33.8179118, -118.1154974), (33.8180014, -118.1154504), (33.8180587, -118.115362), (33.8180458, -118.1146414)]"
Fanwood Avenue,33.8486685,-118.1146502,"[(33.8486685, -118.1146502), (33.8486618, -118.1153063), (33.8486832, -118.1154007), (33.8487331, -118.1154608), (33.8487829, -118.1154865), (33.84884, -118.1154951), (33.8506866, -118.1156584), (33.8507614, -118.1156657), (33.8508546, -118.1156719), (33.8526322, -118.1158041)]"
Fanwood Avenue,33.8250063,-118.1155155,"[(33.8250063, -118.1155155), (33.8251145, -118.1155155), (33.8269729, -118.1155149)]"
Fanwood Avenue,33.7886673,-118.1162192,"[(33.7886673, -118.1162192), (33.7887862, -118.1162171), (33.7888668, -118.1162156), (33.7888862, -118.1162153), (33.7889151, -118.1162142), (33.7910133, -118.1162083), (33.7924245, -118.1161911), (33.7931869, -118.1161859)]"
Via Oro Avenue,33.8286167,-118.2125731,"[(33.8286167, -118.2125731), (33.8290859, -118.2125697)]"
Keynote Street,33.8233879,-118.105318,"[(33.8233879, -118.105318), (33.8233075, -118.1051963), (33.8232751, -118.1051472), (33.8230801, -118.1048168), (33.8230179, -118.1047069), (33.8229722, -118.1045393), (33.8229601, -118.1043236), (33.822962, -118.1035544), (33.822962, -118.102683), (33.822958, -118.1018548), (33.822958, -118.1010018), (33.822962, -118.1001855), (33.8229552, -118.099451), (33.8229551, -118.0994317), (33.8229543, -118.0993469), (33.8229544, -118.099295), (33.8229546, -118.099138)]"
Keynote Street,33.8229565,-118.1292318,"[(33.8229565, -118.1292318), (33.8229533, -118.1254413)]"
East Keynote Street,33.8228967,-118.1129512,"[(33.8228967, -118.1129512), (33.8228914, -118.1097234)]"
