longitude,latitude,GIS_ACRES,YEAR_,FIRE_NAME,weight_hist,weight_recent
-118.13342062914788,35.455830621969575,954.2029,2024,DOVE,6.861923778647129,6.208925394630623
-117.06297458020411,33.93074349561443,889.624,2024,LISA,6.791922340649368,6.145585474213925
-116.73524431385987,33.4044185681938,863.4775,2024,GROVE 2,6.762125278179673,6.11862397714379
-117.36892903427591,33.40631619806951,856.1542,2024,ROBLAR,6.753617832400653,6.11092612187102
-118.8214434095044,35.45070426263995,616.9343,2024,RANCH,6.426382141126698,5.814831023889483
-119.47126116059124,35.31778195703792,526.3655,2024,SKY,6.267893856534919,5.671424893670509
-116.93640516038676,33.81801134799471,517.0266,2024,RECORD,6.250026592292399,5.655257924425941
-117.15941829572185,34.720234703238205,472.7928,2024,STODDARD 3,6.160770095323868,5.574495306166001
-118.25550188158398,34.8527264845334,428.4925,2024,HOLIDAY,6.062604279106536,5.4856712024805185
-118.41693928690259,35.34297380117078,427.2897,2024,BLUE,6.059799835768064,5.483133637211107
-117.04523609900833,34.46994446287529,419.8341,2024,LUCERNE,6.042238694261924,5.467243659272927
-116.40635564183245,32.71666064494312,411.3604,2024,POSTA 3,6.021897724253904,5.448838388490523
-116.78765745570344,32.56516351409734,403.2409,2024,BORDER 53,6.002010987381333,5.430844124845586
-118.76458571199174,34.46820821416478,393.3771,2024,FELICIA,5.977307558162441,5.4084915377345295
-118.29759004227054,34.83482918087078,392.9767,2024,GASKELL 2,5.9762917704934315,5.4075724150428295
-118.69007109856146,35.49746424516797,370.8842,2024,COW,5.9185825154896765,5.355354921748453
-119.33527538602262,35.346518214394024,356.6399,2024,I5,5.879526614256297,5.320015680917375
-117.08918826265108,33.92468115432182,343.6256,2024,ROUND,5.842458610365297,5.286475163984895
-120.095297693548,35.359636425314704,331.2043,2024,BITTERWATER,5.8057501411050545,5.253259967439405
-118.34325936840693,35.0221386002455,329.2224,2024,TURBINE ,5.799766366859293,5.24784562460076
-117.16739574952798,34.412129464351885,317.0617,2024,POLE,5.762245389116963,5.213895239978205
-117.754259271425,34.24167645276551,298.1226,2024,FORK,5.700853522794762,5.158345582166816
-116.67580464285335,32.57437634788954,296.4171,2024,BORDER 66,5.695135530691853,5.15317172895607
-118.27459300693266,34.95281980464903,289.8958,2024,WILLOW,5.6729651274457416,5.133111118526043
-118.76985561814462,35.394057334874766,276.5219,2024,BRECKENRIDGE ,5.625899848991474,5.09052469349034
-117.29706221538231,33.76567284704427,264.2433,2024,POST,5.580647517985629,5.049578691142903
-117.04040032041343,33.921893198356365,261.3878,2024,JACK,5.56982356208662,5.039784770834308
-116.84918349628114,32.55356816616899,259.9372,2024,BORDER 59,5.564279765343915,5.034768536103523
-119.39784467040688,35.1600271048232,254.9848,2024,GARDNER,5.545118067716797,5.017430315097416
-117.48369693739144,34.02659850345691,254.0351,2024,CANYON CREST,5.541401182744763,5.014067138496183
-115.81779628535736,33.50359843462739,239.119,2024,PALMAS,5.481134633790596,4.959535709946557
-119.24043082876689,35.2732300859785,217.4707,2024,PILOT,5.386651909434118,4.874044205590838
-114.26417146606515,34.174985439242256,215.105,2024,BLUE WATER,5.375764400681546,4.864192780282317
-116.45392479807028,32.99779593611154,186.7424,2024,GREAT 3,5.23507081046408,4.736887955375736
-119.3313489709854,35.12809469355825,179.6678,2024,LAKE 2,5.196659985814591,4.702132403975261
-119.53290220070402,35.0073856401717,161.0311,2024,SODA,5.087788292116125,4.603621221751939
-117.57328185781385,35.38017612669396,141.743,2024,RED,4.961045810556194,4.48893988198178
-119.04774645675492,35.45133198615756,141.146,2024,JAMES 2,4.956854698411608,4.485147606890175
-116.89153102036911,32.588872587087664,136.5067,2024,BORDER 58,4.923672643192218,4.455123241720335
-117.38406842285717,33.65330973478911,134.3121,2024,MACY,4.907583962072347,4.440565601036226
-118.73934436564083,34.29903190324539,132.8858,2024,SHARP,4.8969871977829875,4.430977252197107
-118.10988556523073,34.97116558707372,131.9613,2024,10TH,4.890058108435994,4.424707552883033
-116.57256005371491,33.84380952535457,126.07,2024,TUSCANY,4.844738115716443,4.383700327685266
-118.86967543897075,35.38237314287976,124.1726,2024,DAYTONA 2,4.829693584874621,4.37008747324279
-120.49230224708398,34.6910574204571,123.438,2024,SANTA LUCIA,4.823807599897709,4.364761613793681
-118.99450390942417,34.96526675595875,119.0229,2024,WIND,4.787682557909015,4.332074324074192
-119.57244434182282,35.16743550812322,116.1366,2024,MOCAL,4.763340775142227,4.310048968205099
-118.75624097541804,34.6145500976658,109.0292,2024,FRENCHMAN,4.700745785111047,4.253410679043299
-117.013670148763,33.48452601162309,101.4715,2024,PAUBA,4.629584711135246,4.1890214766023695
-117.40489282344902,33.58842040322016,99.1321,2024,TENAJA,4.606490314235231,4.168124802140262
-118.932813803662,35.49458479914247,93.49149,2024,ROUND,4.548509777534638,4.115661843015758
-116.407159886143,32.59263473889681,78.61796,2024,BORDER 74,4.37723969554084,3.9606902642376833
-119.24759488356332,35.291928963181874,78.08947,2024,PANAMA,4.370579743282422,3.954664090231933
-118.75098893837254,35.46677922821194,76.63322,2024,POWER,4.351995428367105,3.937848306707991
-119.05547789676007,35.49582212812954,73.68279,2024,OIL,4.313249677375784,3.9027897014211397
-120.06126550851039,34.50458519558395,72.71605,2024,REFUGIO,4.30022055024836,3.8910004596718992
